Year,Month,Day,Hour,Minute,Index,Tout,Qsg,Qint
2010,6,1,0,0,0,20,0,50
2010,6,1,0,30,0.5,20,0,50
2010,6,1,1,0,1,20,0,50
2010,6,1,1,30,1.5,19,0,50
2010,6,1,2,0,2,19,0,50
2010,6,1,2,30,2.5,19,0,50
2010,6,1,3,0,3,19,0,50
2010,6,1,3,30,3.5,18,0,50
2010,6,1,4,0,4,18,0,50
2010,6,1,4,30,4.5,18,0,50
2010,6,1,5,0,5,18,0,50
2010,6,1,5,30,5.5,18,0,50
2010,6,1,6,0,6,19,50.38504893,50
2010,6,1,6,30,6.5,20,54.92165378,50
2010,6,1,7,0,7,21,77.3528063,50
2010,6,1,7,30,7.5,21,102.1972259,50
2010,6,1,8,0,8,22,130.8840609,180
2010,6,1,8,30,8.5,22,175.2357319,180
2010,6,1,9,0,9,23,234.9287732,180
2010,6,1,9,30,9.5,24,246.5404293,180
2010,6,1,10,0,10,25,230.3998452,180
2010,6,1,10,30,10.5,25,365.1341169,180
2010,6,1,11,0,11,26,404.9134791,180
2010,6,1,11,30,11.5,26,460.3731315,180
2010,6,1,12,0,12,27,702.1567111,180
2010,6,1,12,30,12.5,27,708.9983248,180
2010,6,1,13,0,13,27,696.1013775,180
2010,6,1,13,30,13.5,27,688.955698,180
2010,6,1,14,0,14,28,620.702988,180
2010,6,1,14,30,14.5,28,591.860492,180
2010,6,1,15,0,15,28,470.8832913,180
2010,6,1,15,30,15.5,28,429.6959943,180
2010,6,1,16,0,16,28,263.71591,180
2010,6,1,16,30,16.5,27,226.0505061,180
2010,6,1,17,0,17,27,121.8269847,180
2010,6,1,17,30,17.5,26,106.5415969,180
2010,6,1,18,0,18,26,50.16,50
2010,6,1,18,30,18.5,25,44.5421727,50
2010,6,1,19,0,19,24,20.625,50
2010,6,1,19,30,19.5,23,8.745,50
2010,6,1,20,0,20,22,6.411886343,50
2010,6,1,20,30,20.5,22,0,50
2010,6,1,21,0,21,22,0,50
2010,6,1,21,30,21.5,21,0,50
2010,6,1,22,0,22,21,0,50
2010,6,1,22,30,22.5,21,0,50
2010,6,1,23,0,23,21,0,50
2010,6,1,23,30,23.5,21,0,50
2010,6,2,0,0,24,21,0,50
2010,6,2,0,30,24.5,21,0,50
2010,6,2,1,0,25,21,0,50
2010,6,2,1,30,25.5,21,0,50
2010,6,2,2,0,26,21,0,50
2010,6,2,2,30,26.5,20,0,50
2010,6,2,3,0,27,20,0,50
2010,6,2,3,30,27.5,20,0,50
2010,6,2,4,0,28,21,0,50
2010,6,2,4,30,28.5,21,0,50
2010,6,2,5,0,29,21,0,50
2010,6,2,5,30,29.5,21,0,50
2010,6,2,6,0,30,21,3.96,50
2010,6,2,6,30,30.5,21,11.75462383,50
2010,6,2,7,0,31,21,96.98198846,50
2010,6,2,7,30,31.5,21,80.97893579,50
2010,6,2,8,0,32,22,104.2441637,180
2010,6,2,8,30,32.5,22,146.2393543,180
2010,6,2,9,0,33,23,337.6445135,180
2010,6,2,9,30,33.5,23,335.9652332,180
2010,6,2,10,0,34,24,195.2773096,180
2010,6,2,10,30,34.5,24,413.3617121,180
2010,6,2,11,0,35,24,222.3533497,180
2010,6,2,11,30,35.5,24,554.3168075,180
2010,6,2,12,0,36,25,638.8323553,180
2010,6,2,12,30,36.5,25,612.9091685,180
2010,6,2,13,0,37,26,478.6367731,180
2010,6,2,13,30,37.5,26,429.054432,180
2010,6,2,14,0,38,26,394.6227294,180
2010,6,2,14,30,38.5,26,538.7916669,180
2010,6,2,15,0,39,26,410.7868289,180
2010,6,2,15,30,39.5,26,419.0345822,180
2010,6,2,16,0,40,26,233.4150278,180
2010,6,2,16,30,40.5,25,267.770047,180
2010,6,2,17,0,41,25,82.70486503,180
2010,6,2,17,30,41.5,24,155.9688026,180
2010,6,2,18,0,42,24,39.105,50
2010,6,2,18,30,42.5,23,78.3997001,50
2010,6,2,19,0,43,23,10.395,50
2010,6,2,19,30,43.5,22,24.80123308,50
2010,6,2,20,0,44,21,4.257807309,50
2010,6,2,20,30,44.5,20,0,50
2010,6,2,21,0,45,20,0,50
2010,6,2,21,30,45.5,20,0,50
2010,6,2,22,0,46,20,0,50
2010,6,2,22,30,46.5,19,0,50
2010,6,2,23,0,47,19,0,50
2010,6,2,23,30,47.5,19,0,50
2010,6,3,0,0,48,19,0,50
2010,6,3,0,30,48.5,18,0,50
2010,6,3,1,0,49,18,0,50
2010,6,3,1,30,49.5,18,0,50
2010,6,3,2,0,50,18,0,50
2010,6,3,2,30,50.5,18,0,50
2010,6,3,3,0,51,18,0,50
2010,6,3,3,30,51.5,18,0,50
2010,6,3,4,0,52,18,0,50
2010,6,3,4,30,52.5,17,0,50
2010,6,3,5,0,53,17,0,50
2010,6,3,5,30,53.5,17,0,50
2010,6,3,6,0,54,18,16.59898716,50
2010,6,3,6,30,54.5,18,52.91321624,50
2010,6,3,7,0,55,19,132.9866546,50
2010,6,3,7,30,55.5,19,99.78509089,50
2010,6,3,8,0,56,19,199.1437492,180
2010,6,3,8,30,56.5,20,183.9763884,180
2010,6,3,9,0,57,21,338.6503003,180
2010,6,3,9,30,57.5,21,338.6563181,180
2010,6,3,10,0,58,22,451.947279,180
2010,6,3,10,30,58.5,23,424.0524651,180
2010,6,3,11,0,59,24,499.7014322,180
2010,6,3,11,30,59.5,24,607.9484529,180
2010,6,3,12,0,60,25,610.065851,180
2010,6,3,12,30,60.5,25,611.0142417,180
2010,6,3,13,0,61,26,587.4881056,180
2010,6,3,13,30,61.5,26,589.3433523,180
2010,6,3,14,0,62,26,531.5133841,180
2010,6,3,14,30,62.5,26,524.8344534,180
2010,6,3,15,0,63,26,412.568673,180
2010,6,3,15,30,63.5,26,412.9347308,180
2010,6,3,16,0,64,26,234.6390826,180
2010,6,3,16,30,64.5,25,247.021267,180
2010,6,3,17,0,65,25,117.9614428,180
2010,6,3,17,30,65.5,24,107.3364535,180
2010,6,3,18,0,66,24,51.48,50
2010,6,3,18,30,66.5,23,42.57579646,50
2010,6,3,19,0,67,23,21.78,50
2010,6,3,19,30,67.5,22,9.735,50
2010,6,3,20,0,68,21,8.502215355,50
2010,6,3,20,30,68.5,20,0,50
2010,6,3,21,0,69,20,0,50
2010,6,3,21,30,69.5,19,0,50
2010,6,3,22,0,70,19,0,50
2010,6,3,22,30,70.5,18,0,50
2010,6,3,23,0,71,18,0,50
2010,6,3,23,30,71.5,18,0,50
2010,6,4,0,0,72,18,0,50
2010,6,4,0,30,72.5,17,0,50
2010,6,4,1,0,73,17,0,50
2010,6,4,1,30,73.5,17,0,50
2010,6,4,2,0,74,17,0,50
2010,6,4,2,30,74.5,16,0,50
2010,6,4,3,0,75,16,0,50
2010,6,4,3,30,75.5,16,0,50
2010,6,4,4,0,76,16,0,50
2010,6,4,4,30,76.5,16,0,50
2010,6,4,5,0,77,17,0,50
2010,6,4,5,30,77.5,18,1.155,50
2010,6,4,6,0,78,19,52.08236801,50
2010,6,4,6,30,78.5,19,42.09846127,50
2010,6,4,7,0,79,20,124.2169366,50
2010,6,4,7,30,79.5,21,73.42470043,50
2010,6,4,8,0,80,23,208.4567003,180
2010,6,4,8,30,80.5,24,157.0408051,180
2010,6,4,9,0,81,25,329.0707447,180
2010,6,4,9,30,81.5,25,329.0707447,180
2010,6,4,10,0,82,26,479.7962225,180
2010,6,4,10,30,82.5,26,507.379259,180
2010,6,4,11,0,83,27,618.9944559,180
2010,6,4,11,30,83.5,27,611.3374677,180
2010,6,4,12,0,84,28,613.8190067,180
2010,6,4,12,30,84.5,28,691.6401651,180
2010,6,4,13,0,85,28,678.6192431,180
2010,6,4,13,30,85.5,28,671.9254529,180
2010,6,4,14,0,86,29,258.5042714,180
2010,6,4,14,30,86.5,28,212.9157993,180
2010,6,4,15,0,87,28,418.0138087,180
2010,6,4,15,30,87.5,28,416.4032782,180
2010,6,4,16,0,88,28,157.9249495,180
2010,6,4,16,30,88.5,27,259.0662395,180
2010,6,4,17,0,89,27,106.8012829,180
2010,6,4,17,30,89.5,26,147.1065356,180
2010,6,4,18,0,90,26,75.32490463,50
2010,6,4,18,30,90.5,25,68.49314586,50
2010,6,4,19,0,91,25,10.23,50
2010,6,4,19,30,91.5,24,24.92963902,50
2010,6,4,20,0,92,24,5.467592106,50
2010,6,4,20,30,92.5,23,0,50
2010,6,4,21,0,93,23,0,50
2010,6,4,21,30,93.5,23,0,50
2010,6,4,22,0,94,23,0,50
2010,6,4,22,30,94.5,22,0,50
2010,6,4,23,0,95,22,0,50
2010,6,4,23,30,95.5,22,0,50
2010,6,5,0,0,96,22,0,50
2010,6,5,0,30,96.5,21,0,50
2010,6,5,1,0,97,21,0,50
2010,6,5,1,30,97.5,21,0,50
2010,6,5,2,0,98,21,0,50
2010,6,5,2,30,98.5,21,0,50
2010,6,5,3,0,99,21,0,50
2010,6,5,3,30,99.5,21,0,50
2010,6,5,4,0,100,22,0,50
2010,6,5,4,30,100.5,21,0,50
2010,6,5,5,0,101,21,0,50
2010,6,5,5,30,101.5,21,0.979395131,50
2010,6,5,6,0,102,22,10.7810708,50
2010,6,5,6,30,102.5,22,31.44239354,50
2010,6,5,7,0,103,22,52.34624655,50
2010,6,5,7,30,103.5,22,25.55121106,50
2010,6,5,8,0,104,22,34.56009587,180
2010,6,5,8,30,104.5,22,27.70172179,180
2010,6,5,9,0,105,22,175.9895575,180
2010,6,5,9,30,105.5,22,332.3935438,180
2010,6,5,10,0,106,23,108.4381789,180
2010,6,5,10,30,106.5,23,132.7421531,180
2010,6,5,11,0,107,24,218.4171876,180
2010,6,5,11,30,107.5,25,196.203046,180
2010,6,5,12,0,108,26,424.4876863,180
2010,6,5,12,30,108.5,26,405.1030474,180
2010,6,5,13,0,109,26,418.7407832,180
2010,6,5,13,30,109.5,26,425.9450959,180
2010,6,5,14,0,110,27,451.2530302,180
2010,6,5,14,30,110.5,27,388.5194048,180
2010,6,5,15,0,111,28,408.5802786,180
2010,6,5,15,30,111.5,28,411.7641713,180
2010,6,5,16,0,112,28,224.6304508,180
2010,6,5,16,30,112.5,28,223.7088899,180
2010,6,5,17,0,113,28,101.5145005,180
2010,6,5,17,30,113.5,27,145.5851494,180
2010,6,5,18,0,114,27,39.27,50
2010,6,5,18,30,114.5,26,66.40737336,50
2010,6,5,19,0,115,26,17.655,50
2010,6,5,19,30,115.5,25,18.95872636,50
2010,6,5,20,0,116,25,7.716819138,50
2010,6,5,20,30,116.5,25,0,50
2010,6,5,21,0,117,25,0,50
2010,6,5,21,30,117.5,24,0,50
2010,6,5,22,0,118,24,0,50
2010,6,5,22,30,118.5,23,0,50
2010,6,5,23,0,119,23,0,50
2010,6,5,23,30,119.5,23,0,50
2010,6,6,0,0,120,23,0,50
2010,6,6,0,30,120.5,22,0,50
2010,6,6,1,0,121,22,0,50
2010,6,6,1,30,121.5,21,0,50
2010,6,6,2,0,122,20,0,50
2010,6,6,2,30,122.5,18,0,50
2010,6,6,3,0,123,16,0,50
2010,6,6,3,30,123.5,15,0,50
2010,6,6,4,0,124,14,0,50
2010,6,6,4,30,124.5,14,0,50
2010,6,6,5,0,125,14,0,50
2010,6,6,5,30,125.5,14,1.65,50
2010,6,6,6,0,126,14,58.73860053,50
2010,6,6,6,30,126.5,14,31.67264076,50
2010,6,6,7,0,127,15,109.6697343,50
2010,6,6,7,30,127.5,16,134.1006299,50
2010,6,6,8,0,128,17,218.0400248,180
2010,6,6,8,30,128.5,18,127.8416731,180
2010,6,6,9,0,129,19,328.3554329,180
