episode,end_global_step,episode_length,update,episode_return_total,episode_return_energy,episode_return_comfort,sum_TotalEnergy_kWh,sum_TempExceed_degC
0,1440,1440,1,-431.36156307617796,-106.99462218519713,-324.36694089098063,106.99462218519713,1081.2231363032688
1,2880,1440,2,-391.5346703834511,-107.82902852722862,-283.70564185622237,107.82902852722862,945.6854728540745
2,4320,1440,3,-379.57136130725524,-108.5542232477886,-271.0171380594672,108.5542232477886,903.390460198224
3,5760,1440,3,-356.2950490028725,-113.8672856454443,-242.42776335742906,113.8672856454443,808.0925445247635
4,7200,1440,4,-311.99420076708424,-111.0517975649628,-200.94240320212066,111.0517975649628,669.8080106737356
5,8640,1440,5,-302.5312939107018,-112.43270417886079,-190.09858973184072,112.43270417886079,633.6619657728024
6,10080,1440,5,-310.59906804293155,-117.77353797219655,-192.82553007073463,117.77353797219655,642.7517669024488
7,11520,1440,6,-305.7425501035576,-118.1454369718863,-187.59711313167182,118.1454369718863,625.3237104389061
8,12960,1440,7,-292.33907097973236,-117.07480750892395,-175.26426347080886,117.07480750892395,584.2142115693629
9,14400,1440,8,-287.3085306651168,-119.54013388002663,-167.76839678509018,119.54013388002663,559.227989283634
10,15840,1440,8,-275.19286359242034,-118.67675945282276,-156.51610413959747,118.67675945282276,521.7203471319916
11,17280,1440,9,-275.8242563300401,-119.69323375366334,-156.13102257637675,119.69323375366334,520.4367419212558
12,18720,1440,10,-263.70715376615476,-120.58848573465261,-143.11866803150195,120.58848573465261,477.06222677167324
13,20160,1440,10,-265.72151197143336,-119.13838787999326,-146.58312409144025,119.13838787999326,488.6104136381342
14,21600,1440,11,-260.1941836041385,-115.78194824272616,-144.41223536141243,115.78194824272616,481.3741178713748
15,23040,1440,12,-264.84532044250125,-118.20679192512027,-146.6385285173815,118.20679192512027,488.79509505793834
16,24480,1440,12,-263.45126361758804,-117.7996695576611,-145.6515940599262,117.7996695576611,485.50531353308736
17,25920,1440,13,-265.9400724983734,-114.74531223604272,-151.19476026233062,114.74531223604272,503.9825342077687
18,27360,1440,14,-242.48487981898853,-114.42109301017474,-128.06378680881392,114.42109301017474,426.8792893627131
19,28800,1440,15,-242.949484228831,-114.65327634758087,-128.29620788124976,114.65327634758087,427.6540262708325
20,30240,1440,15,-243.00591311750236,-116.29307856409766,-126.71283455340432,116.29307856409766,422.3761151780144
21,31680,1440,16,-251.8470163998353,-117.46133703287009,-134.38567936696458,117.46133703287009,447.95226455654864
22,33120,1440,17,-233.31634390313607,-115.10664527589881,-118.20969862723734,115.10664527589881,394.03232875745783
23,34560,1440,17,-230.50086837229355,-114.50693991320125,-115.99392845909234,114.50693991320125,386.6464281969745
24,36000,1440,18,-229.88213945171506,-113.30300371580525,-116.57913573590972,113.30300371580525,388.5971191196991
25,37440,1440,19,-240.20288623454354,-115.48841745384632,-124.71446878069749,115.48841745384632,415.7148959356583
26,38880,1440,19,-224.0226296921796,-112.2198617071047,-111.80276798507522,112.2198617071047,372.67589328358406
27,40320,1440,20,-234.95522721111334,-113.78256851034175,-121.17265870077135,113.78256851034175,403.90886233590453
