lb,ub,Qsg,Tout,Tair_true,u_true
15.0,28.0,0.0,17.0,22.846153,-1089.0408734534258
15.0,28.0,0.0,18.0,21.239567,32.561756622634334
15.0,28.0,0.0,19.0,22.597004,-629.7107900094942
15.0,28.0,0.0,20.0,21.736826,105.92942263444814
15.0,28.0,0.0,21.300003,22.678429,-794.0958438280667
15.0,28.0,0.0,21.0,21.443954,249.42855027116434
15.0,28.0,0.0,20.7,22.805103,-929.3722562884225
15.0,28.0,0.0,20.5,21.215326,247.07591139664908
15.0,28.0,0.0,20.400002,22.719795,95.36813012058502
15.0,28.0,0.0,20.400002,22.708548,93.67085792026143
15.0,28.0,0.0,20.5,22.735327,191.4918905033752
15.0,28.0,1.8149999,21.100002,22.915861,142.82490641033274
15.0,28.0,55.726196,21.7,22.90564,170.67786366739597
22.0,24.0,22.77,22.399998,23.00078,162.86918519168887
22.0,24.0,117.7943,23.0,23.046036,109.55224684368284
22.0,24.0,65.678024,24.0,23.04559,145.75137214618132
22.0,24.0,177.43163,25.0,23.150347,-52.13251428143491
22.0,24.0,129.28983,26.0,23.151697,-55.9621548834038
22.0,24.0,333.23752,27.0,23.21111,-149.71725572741047
22.0,24.0,329.36197,27.600006,23.202187,-161.42838180160362
22.0,24.0,502.17072,28.300003,23.280998,-246.21096971408218
22.0,24.0,518.8844,28.699997,23.303139,-281.13359621329556
22.0,24.0,632.8191,29.199997,23.371365,-394.93323263529675
22.0,24.0,649.80865,29.400002,23.345871,-418.52777204760156
22.0,24.0,701.6351,29.599998,23.422232,-498.9684711698768
22.0,24.0,703.0528,29.699997,23.427065,-511.82834283566115
22.0,24.0,493.46774,29.800003,23.506084,-354.8464417675907
22.0,24.0,89.94651,29.699997,23.786098,-339.1472532403649
22.0,24.0,180.25238,29.599998,23.794048,-372.63866057856524
22.0,24.0,474.87408,29.400002,23.752296,-399.55443396972873
22.0,24.0,426.47385,29.099998,23.784218,-427.5933582595802
22.0,24.0,424.60446,28.699997,23.77961,-428.58870503039725
22.0,24.0,269.35406,28.300003,23.805693,-446.9233202482909
22.0,24.0,221.86665,27.699997,23.760952,-436.39351382801124
22.0,24.0,126.70574,27.099998,23.743765,-474.87627875918315
22.0,24.0,96.5028,26.199997,23.630493,-463.7938419989558
22.0,24.0,53.954998,25.400002,23.571896,-201.0279887853526
22.0,24.0,38.445,25.400002,23.693829,-216.97650275216154
22.0,24.0,24.09,23.0,23.628696,-227.25657826710471
22.0,24.0,11.385,21.7,23.537674,-215.2601168206155
22.0,24.0,14.702732,20.400002,23.465477,-235.02416316667814
15.0,28.0,0.0,19.3,23.345718,-231.05474947841356
15.0,28.0,0.0,18.2,23.246395,-252.44052532304244
15.0,28.0,0.0,17.3,23.109894,-236.66421275459942
15.0,28.0,0.0,16.399998,23.021738,-285.13676177949634
15.0,28.0,0.0,15.799999,22.842857,-294.3514346433845
15.0,28.0,0.0,15.200001,22.708218,-537.0058499020332
15.0,28.0,0.0,14.799999,22.224249,-597.2758689043512
15.0,28.0,0.0,14.400002,21.949677,-80.13162329416343
15.0,28.0,0.0,14.200001,22.573677,-442.0112597502105
15.0,28.0,0.0,13.899998,22.036028,20.167121010557253
15.0,28.0,0.0,13.800003,22.577337,-224.5690370691995
15.0,28.0,0.0,13.699997,22.229782,26.83918115630121
15.0,28.0,0.0,13.600002,22.508041,-141.88115110478668
15.0,28.0,0.0,13.5,22.253506,2.0122838599469333
15.0,28.0,0.0,13.400002,22.394451,-92.31130129478618
15.0,28.0,0.0,13.299999,22.238428,72.27726450598419
15.0,28.0,0.0,13.299999,22.432056,69.6058140715756
15.0,28.0,0.0,13.299999,22.434273,284.5932268521837
15.0,28.0,1.485,13.899998,22.74728,234.10390573581554
15.0,28.0,58.55608,14.599998,22.724194,274.345156153234
22.0,24.0,23.925,15.799999,22.815031,265.92625277023745
22.0,24.0,119.06838,17.0,22.842508,247.56145905829254
22.0,24.0,118.36055,18.400002,22.882458,219.3852253494045
22.0,24.0,165.05334,19.8,22.906136,100.78962681795173
22.0,24.0,209.381,21.0,23.003986,53.561299597753816
22.0,24.0,297.12015,22.199997,23.036137,-26.542381124576934
22.0,24.0,323.3945,23.2,23.029095,-61.71439715497962
22.0,24.0,393.49542,24.099998,23.077688,-121.78871249192889
22.0,24.0,418.10742,25.0,23.107664,-151.80320929851666
22.0,24.0,496.90622,25.900002,23.174683,-242.35671161756255
22.0,24.0,508.57053,26.599998,23.169365,-262.37580868317355
22.0,24.0,585.9484,27.300003,23.246864,-313.5677780657394
22.0,24.0,626.01184,27.800003,23.301983,-370.1287914195925
22.0,24.0,624.2818,28.300003,23.341686,-389.6076697597468
22.0,24.0,616.1062,28.5,23.42123,-410.04429480431384
22.0,24.0,571.0053,28.699997,23.494116,-402.60235761859326
22.0,24.0,591.82025,28.699997,23.589119,-445.77244876199893
22.0,24.0,478.3472,28.800003,23.614555,-406.5222574685964
22.0,24.0,423.60562,28.900002,23.714384,-409.1700058990874
22.0,24.0,216.36867,28.900002,23.754276,-436.1285811139828
22.0,24.0,227.3333,28.800003,23.694643,-427.67214572271416
22.0,24.0,122.877495,28.599998,23.691456,-472.6545075785384
22.0,24.0,129.81949,28.300003,23.584162,-458.5246227352088
22.0,24.0,44.385002,28.0,23.558311,-201.33019116825767
22.0,24.0,52.59964,28.0,23.691334,-216.304501993097
22.0,24.0,21.12,26.900002,23.653545,-233.05851514281517
22.0,24.0,10.065001,25.900002,23.579388,-223.6666858535756
22.0,24.0,11.966496,24.899994,23.532684,-242.91282609440384
15.0,28.0,0.0,24.0,23.443727,-234.06821487769867
15.0,28.0,0.0,23.2,23.383295,-268.05799687850805
15.0,28.0,0.0,22.800003,23.260654,-253.98042352933322
15.0,28.0,0.0,22.399998,23.199936,-292.3603468179977
15.0,28.0,0.0,22.099998,23.069633,-296.6151442823781
15.0,28.0,0.0,21.8,22.980238,-493.3594523935643
15.0,28.0,0.0,21.599998,22.604254,-569.1382479615954
15.0,28.0,0.0,21.399998,22.356909,-962.2896881629243
15.0,28.0,0.0,21.300003,21.635164,-73.38486895780267
15.0,28.0,0.0,21.199997,22.763626,-1080.9360092017264
15.0,28.0,0.0,21.300003,21.339518,151.23608823917766
15.0,28.0,0.0,21.300003,22.907488,-1090.8477908060706
15.0,28.0,0.0,21.100002,21.216871,273.98580908170436
15.0,28.0,0.0,20.900002,22.963667,-1065.6436689487832
15.0,28.0,0.0,20.400002,21.166195,253.53931045899253
15.0,28.0,0.0,19.899998,22.837046,73.19153137010517
15.0,28.0,0.0,19.3,22.790821,77.37677693759923
15.0,28.0,0.0,18.600002,22.805744,164.314311929268
15.0,28.0,2.145,18.5,22.94769,136.48421700894403
